paperid,doi,shortnormname,soundex,normname,magid,s2id,lvl0,lvl1,affid
2143994327,10.1109/ssp.2007.4301257,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1407900708,"","",79403827
2168926434,10.1109/83.661005,abuvaneswari,A115,a buvaneswari,1998823285,3136473,59270414,121332964,134306372
2168926434,10.1109/83.661005,abuvaneswari,A115,a buvaneswari,1998823285,3136473,"","",31972630
2168926434,10.1109/83.661005,abuvaneswari,A115,a buvaneswari,1998823285,3136473,"","",154945302
2246250695,10.1145/2828959.2828966,avihavainen,A631,arto vihavainen,2028882092,1772044,133731052,41008148,2522767166
2246250695,10.1145/2828959.2828966,avihavainen,A631,arto vihavainen,2028882092,1772044,"","",119857082
2246250695,10.1145/2828959.2828966,avihavainen,A631,arto vihavainen,2028882092,1772044,"","",154945302
1988114973,10.1145/192309.192336,apapantonakis,A535,anthony papantonakis,271702342,2496805,98259816,41008148,199360897
1988114973,10.1145/192309.192336,apapantonakis,A535,anthony papantonakis,271702342,2496805,"","",204321447
1988114973,10.1145/192309.192336,apapantonakis,A535,anthony papantonakis,271702342,2496805,"","",154945302
2144514752,10.1145/2047594.2047596,avihavainen,A631,arto vihavainen,2028882092,1772044,133731052,41008148,56739046
2144514752,10.1145/2047594.2047596,avihavainen,A631,arto vihavainen,2028882092,1772044,"","",145420912
2168578034,10.1093/bioinformatics/btl384,apapana,A635,ariadni papana,1998507964,3172588,58956616,41008148,124101348
2168578034,10.1093/bioinformatics/btl384,apapana,A635,ariadni papana,1998507964,3172588,"","",105795698
68980256,10.1007/978-3-319-07446-7_34,apapangelis,A425,alexandros papangelis,233239348,1710287,189196454,41008148,107457646
68980256,10.1007/978-3-319-07446-7_34,apapangelis,A425,alexandros papangelis,233239348,1710287,"","",44154836
2058582917,10.1145/860575.860780,ababanov,A425,alexander babanov,1741772745,144444893,130238516,41008148,56739046
2162283425,10.1109/icdar.2013.291,apapandreou,A115,a papandreou,2683076448,143977856,"",41008148,23123220
1633101861,10.1109/icassp.2001.940339,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,"",41008148,154945302
1633101861,10.1109/icassp.2001.940339,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,"","",178980831
2158083345,10.1109/tsp.2011.2157915,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,55732556,33923547,178980831
2158083345,10.1109/tsp.2011.2157915,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,"","",154945302
1605260458,10.1007/11786986_30,apavan,A361,a pavan,2150759953,1989403,173911158,33923547,199539241
1605260458,10.1007/11786986_30,apavan,A361,a pavan,2150759953,1989403,"","",114614502
1990844093,10.1109/18.119685,apapamarcou,A115,a papamarcou,2973724148,2443560,66946132,33923547,65244806
1990844093,10.1109/18.119685,apapamarcou,A115,a papamarcou,2973724148,2443560,"","",134306372
2154429770,10.1109/18.749004,apapamarcou,A365,adrian papamarcou,2070232755,2443560,"",33923547,126255220
2154429770,10.1109/18.749004,apapamarcou,A365,adrian papamarcou,2070232755,2443560,"","",28826006
2115877532,10.1109/93.388202,apavan,A115,a pavan,2973491271,34993144,"",41008148,111919701
2115877532,10.1109/93.388202,apavan,A115,a pavan,2973491271,34993144,"","",49774154
2115877532,10.1109/93.388202,apavan,A115,a pavan,2973491271,34993144,"","",149635348
66049448,10.1007/978-3-642-25255-6_18,apeyvandipour,A251,azam peyvandipour,342469443,79788818,67009956,33923547,11413529
1966954181,10.1145/2451176.2451185,apapangelis,A425,alexandros papangelis,233239348,1710287,189196454,41008148,49774154
2049805028,10.1109/ucc.2014.65,afavenza,A416,alfredo favenza,2344680491,3058601,1290206253,41008148,149635348
2049805028,10.1109/ucc.2014.65,afavenza,A416,alfredo favenza,2344680491,3058601,"","",79403827
1970649218,10.1109/twc.2009.081522,abehbahani,A462,alireza s behbahani,2018052331,2758356,204250578,41008148,31258907
1970649218,10.1109/twc.2009.081522,abehbahani,A462,alireza s behbahani,2018052331,2758356,"","",76155785
2077008096,10.1145/2671188.2749402,ahabibian,A562,amirhossein habibian,2058770912,3000952,887064364,41008148,23123220
2077008096,10.1145/2671188.2749402,ahabibian,A562,amirhossein habibian,2058770912,3000952,"","",31972630
2077008096,10.1145/2671188.2749402,ahabibian,A562,amirhossein habibian,2058770912,3000952,"","",154945302
2152323610,10.1016/j.ipl.2007.02.018,apavan,A361,a pavan,2150759953,1989403,173911158,33923547,114614502
2152323610,10.1016/j.ipl.2007.02.018,apavan,A361,a pavan,2150759953,1989403,"","",118615104
2128649671,10.1109/iv.2011.68,afabian,A536,andrew j fabian,2109031096,21439891,44265643,41008148,11413529
2128649671,10.1109/iv.2011.68,afabian,A536,andrew j fabian,2109031096,21439891,"","",80444323
2134125092,10.1109/isvd.2009.11,apoupon,A511,anne poupon,1127480018,2842969,1314251682,41008148,80444323
2134125092,10.1109/isvd.2009.11,apoupon,A511,anne poupon,1127480018,2842969,"","",11413529
1991241950,10.1155/2011/807472,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,55732556,41008148,24890656
1991241950,10.1155/2011/807472,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,"","",28490314
2016035795,10.1007/s11664-001-0067-2,apapon,A511,a papon,3068636754,145356068,"",192562407,159985019
2016035795,10.1007/s11664-001-0067-2,apapon,A511,a papon,3068636754,145356068,"","",171250308
2094348059,10.1145/1601896.1601917,apabon,A655,armando ayala pabon,2222074114,48230321,17974374,127413603,119599485
2094348059,10.1145/1601896.1601917,apabon,A655,armando ayala pabon,2222074114,48230321,"","",24326235
2141595346,10.1093/bioinformatics/bti266,apoupon,A511,anne poupon,1127480018,2842969,102197404,86803240,54355233
2141595346,10.1093/bioinformatics/bti266,apoupon,A511,anne poupon,1127480018,2842969,"","",70721500
2031948748,10.1007/s00542-013-2003-9,aababneh,A134,a ababneh,2139313402,23203218,85507684,192562407,49040817
2031948748,10.1007/s00542-013-2003-9,aababneh,A134,a ababneh,2139313402,23203218,"","",66938386
2163816725,10.1109/icdew.2006.71,apaventhan,A115,a paventhan,2468654588,3216116,43439940,41008148,77088390
2163816725,10.1109/icdew.2006.71,apaventhan,A115,a paventhan,2468654588,3216116,"","",115903868
1976184010,10.1145/2578726.2582615,ahabibian,A562,amirhossein habibian,2058770912,3000952,887064364,41008148,23123220
2005158087,10.1002/nem.513,abivens,A451,alan bivens,2050367715,1941823,165799507,41008148,31258907
2005158087,10.1002/nem.513,abivens,A451,alan bivens,2050367715,1941823,"","",120314980
2065948537,10.1155/asp/2006/31520,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,55732556,33923547,11413529
2065948537,10.1155/asp/2006/31520,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,"","",126255220
2096452162,10.1109/ispass.2012.6189215,abivens,A451,alan bivens,270424785,1941823,1341412227,41008148,173608175
1987473313,10.1145/1810959.1810978,avihavainen,A631,arto vihavainen,2028882092,1772044,133731052,33923547,2524010
1497509478,10.1007/11549345_34,apavan,A361,a pavan,2150759953,1989403,173911158,33923547,114614502
1497509478,10.1007/11549345_34,apavan,A361,a pavan,2150759953,1989403,"","",118615104
1995477258,10.1109/tvlsi.2007.900758,apapanikolaou,A123,apostolos papanikolaou,2086577668,1804062,99464096,127413603,149635348
2076952529,10.1145/1815396.1815475,abeben,A536,andrzej bȩben,2225928626,3134692,108403487,41008148,31258907
1979553871,10.1145/2462476.2462508,avihavainen,A631,arto vihavainen,2028882092,1772044,133731052,41008148,509550671
1979553871,10.1145/2462476.2462508,avihavainen,A631,arto vihavainen,2028882092,1772044,"","",19417346
2053731087,10.1504/ijbra.2009.024095,avivan,A542,ana luiza vivan,2057292809,2948730,130442723,185592680,159047783
2122807019,10.1016/j.cmpb.2014.06.006,abiviano,A524,angelo b biviano,2151841975,48468359,2799503643,33923547,164705383
2122807019,10.1016/j.cmpb.2014.06.006,abiviano,A524,angelo b biviano,2151841975,48468359,"","",126322002
2781710504,10.1145/3177795.3177800,apaffenholz,A536,andreas paffenholz,111077391,1973072,"",33923547,125565743
1990360323,10.1145/2420950.2420980,afobian,A536,andreas fobian,2226003115,2804792,904495901,41008148,79403827
1990360323,10.1145/2420950.2420980,afobian,A536,andreas fobian,2226003115,2804792,"","",113775141
121905842,10.1007/978-3-642-34292-9_36,abevans,A451,allen bevans,1761045163,3191918,18014758,41008148,56739046
1845838099,10.1109/icde.2005.118,apavan,A361,a pavan,2150759953,1989403,173911158,41008148,118615104
1845838099,10.1109/icde.2005.118,apavan,A361,a pavan,2150759953,1989403,"","",80444323
2092509493,10.1145/2699026.2699131,avapen,A511,anna vapen,265904169,3078482,102134673,41008148,136764020
2092509493,10.1145/2699026.2699131,avapen,A511,anna vapen,265904169,3078482,"","",108827166
2161574425,10.1109/ssp.2007.4301357,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,55732556,127413603,24890656
1975665666,10.1145/2462476.2462501,avihavainen,A631,arto vihavainen,2028882092,1772044,133731052,41008148,49774154
1986229020,10.1016/j.mee.2004.03.064,apepin,A115,a pepin,2306313696,98007374,1294671590,192562407,171250308
2079622429,10.1016/j.patrec.2012.08.005,apapandreou,A115,a papandreou,2683076448,143977856,200777214,41008148,178980831
2079622429,10.1016/j.patrec.2012.08.005,apapandreou,A115,a papandreou,2683076448,143977856,"","",28490314
2079622429,10.1016/j.patrec.2012.08.005,apapandreou,A115,a papandreou,2683076448,143977856,"","",154945302
110343627,10.1007/978-3-642-30284-8_19,afabiani,A421,alessio fabiani,2051156967,22785579,39422238,41008148,124101348
1964829607,10.1007/s11265-012-0701-7,apapandreousuppappola,A535,antonia papandreousuppappola,297891418,1400878863,55732556,41008148,79403827
2057816915,10.1145/1961189.1961200,apappaioannou,A623,aristidis pappaioannou,2227908169,2902039,20089843,41008148,11413529
2057816915,10.1145/1961189.1961200,apappaioannou,A623,aristidis pappaioannou,2227908169,2902039,"","",119857082
2057816915,10.1145/1961189.1961200,apappaioannou,A623,aristidis pappaioannou,2227908169,2902039,"","",154945302
2148796366,10.1109/isqed.2006.129,apapanikolaou,A123,apostolos papanikolaou,2086577668,1804062,99464096,41008148,120314980
2148796366,10.1109/isqed.2006.129,apapanikolaou,A123,apostolos papanikolaou,2086577668,1804062,"","",149635348
2166386202,10.1145/2595188.2595218,apapandreou,A115,a papandreou,2683076448,143977856,200777214,41008148,178980831
